Defect ID,Title,App / Module / Page,Journey,Steps to Reproduce,Expected,Actual,Severity,Type,Repro Rate,Evidence,Status
PX-285,"An AI analysis feature routes safety case data to three named third-party providers with no visible consent, DPIA reference or client disclosure",/ai-intelligence and /analytics/safety-insights,Run AI analysis over safety data,1. Open Safety Insights Analyst  2. Read the stated pipeline and the Run deep analysis control,"A documented lawful basis, consent step and client-disclosure position before any transmission","The page states its own pipeline verbatim: 'Deterministic dimensions to Gemini micro-themes with citation validation to Claude synthesis to optional Perplexity HSE/gov research.' Scope is selectable across Incidents, Near misses, RTAs and Complaints - live records containing named employees, vehicle registrations, injury details and client identities. No consent step, data-processing notice, DPIA reference or client-disclosure prompt appears anywhere. Clients include UK Power Networks and National Grid; transmitting personal data to three external processors requires lawful basis, DPIA, processor agreements and in several contracts explicit prior notification. Run history shows no previous runs, so nothing has been sent yet - this is resolvable before the button is pressed.",P1,Data,2/2,Pipeline text captured verbatim from the page,New
PX-286,Workflow Center reports 12 pending approvals and simultaneously shows none,/workflows,Action pending approvals,1. Open /workflows  2. Compare the KPI row with the list beneath,Consistent counts,"KPI row reads 12 Pending Approvals, 23 Active Workflows, 3 Overdue, 8 Completed Today while the panel directly beneath states 'No pending approvals are assigned to you right now.' An entire approvals subsystem was not reachable from the main navigation until the full route inventory was extracted. Consistent with PX-168 - with nobody assignable, approvals cannot route to a person.",P1,Data,2/2,Single screen,New
PX-288,Every case register loses most of its columns on tablet and mobile,/incidents /near-misses /vehicle-checklists,Review a register on a tablet or phone,1. Resize to 768px then 500px  2. Read the register,"All columns readable, or a card layout below a breakpoint","Measured. Incidents at 768px: 238px overflow, STATUS and DATE lost. Incidents at 500px: 490px overflow, only REFERENCE and TITLE remain. Near Misses at 500px: 1771px overflow, only REFERENCE remains. Van Checklists at 500px: 1169px overflow. A controller opening any register on a tablet sees a reference and at best a title - no severity, status or date for any record. Same root cause as PX-147, PX-205 and PX-230: no register table constrains cell width or adopts a card layout. The portal proves the team can build responsively; the pattern has not been applied to admin registers.",P1,UI,2/2,Programmatic width and header-position measurement at three viewports,New
PX-291,"The New Incident form fails required-field validation silently - no message, no highlight, no feedback",/incidents New Incident modal,Create an incident from the admin console,1. Complete Title and Description  2. Leave Customer/contract unselected  3. Click Create Incident,A clear message naming the missing field,"Nothing happens. No POST is issued (verified on the wire across two attempts), no error message anywhere in the dialog (programmatic scan for required|must|invalid|error returned zero matches), no field highlight, no scroll to the control, no toast. Selecting a customer and resubmitting produced POST 201 immediately, isolating the cause. A controller is faced with a button that does nothing and no way to discover why. The External Audit Intake form validates correctly with a clear message - the pattern exists in the product and is not applied here.",P1,UX,2/2,Two silent attempts then a successful 201 after selecting the customer,New
PX-295,"Keyboard users cannot reach Track My Report, Help & Support, or any Help category",Portal /portal hub and /portal/help,Any portal journey by keyboard or screen reader,1. Open /portal  2. Tab through every control  3. Open /portal/help and tab through the category tiles,Every interactive tile is focusable and announced,"On /portal the tiles 'Track My Report' and 'Help & Support' are bare div elements with onclick, role null and tabindex null - 8 focusable elements exist and neither tile is among them. On /portal/help all four category tiles ('Reporting Issues', 'Anonymous Reports', 'Tracking Status', 'Emergencies') are the same pattern. A keyboard-only or screen-reader employee cannot reach report tracking, cannot reach help from the hub, and cannot open any help category including Emergencies. Every other portal page audited is clean.",P1,Accessibility,2/2,Focusable-element audit across all seven portal pages; per-page table in findings log,New
PX-300,"'Auto-saving draft' never restores, and reopening the form DESTROYS the saved draft",Portal - all four intake forms,Submit a report over more than one sitting,"1. Open /portal/report/incident  2. Select customer, Continue  3. Enter a location and answer the involvement question  4. Confirm localStorage draft_incident holds the values  5. Navigate to /portal and back to the form","Form reopens where the user left it with values restored, or offers 'Resume your saved draft?'","Every portal form shows a persistent 'Auto-saving draft' indicator and does write to localStorage, but never reads it back. Mounting the form immediately overwrites the stored draft with the blank initial state, so the work is not merely unavailable - it is irreversibly destroyed on return. Proven twice: a marker draft saved 19:48:36Z was stripped of customer, location and involvement by 19:48:51Z; separately a three-hour-old complaint draft (16:27:38Z) holding complainant name, contact and a 140-character description was destroyed at 19:49:23Z by simply opening the form, with nothing typed and nothing clicked. Escalate to P0 if interrupted or offline working is in launch scope - that is exactly when it fails, and the Fleet Mobile Team is the portal's stated primary user.",P1,Data,2/2,"localStorage before/after captures with timestamps, on two different forms",New
PX-301,Portal intake form fields have no programmatic labels and no required attribute,Portal /portal/report/incident step 2 (pattern repeats across portal forms),Any employee using a screen reader or voice control submits a report,1. Open /portal/report/incident  2. Advance to People & Location  3. Inspect every input,WCAG 2.2 AA 1.3.1 / 3.3.2 / 4.1.2 - every field programmatically labelled and required state exposed,"All five inputs have id empty, name empty, aria-label null, aria-labelledby null, aria-required null, no wrapping label and no label-for. Visible labels sit in sibling divs with no association. Full Name, Contact Number and Location are announced only by placeholder, which disappears on typing. Date and Time have no placeholder either and are announced as nameless edit fields. Required fields are marked with a visual asterisk only.",P1,Accessibility,2/2,"Full DOM labelling audit of every input, run on two page loads",New
PX-320,'Clear to work' shown green when the system holds NO data about the employee's tools or van,/portal hub status card,Mobile fitter checks they are clear to start work,1. Open /portal  2. Read the status card  3. Call GET /api/v1/portal/my-compliance,"A distinct 'No records held - we cannot confirm your status' state, visually separate from a green pass","The hub displays a green card reading 'Clear to work - Your tools and van checks look OK right now.' The API says it knows nothing: clear_state 'clear' alongside tool_summary all zeros, tools_empty_reason 'no_tools', van_summary vehicle_reg null, daily_last_at null, monthly_last_at null, empty_reason 'no_van'. Both destination pages agree there is no data. Absence of data is being evaluated as compliance and rendered as a green safety assurance - the single most safety-critical statement the portal makes, derived from an empty data set. It will read green for every newly onboarded employee, every employee whose PAMS asset or vehicle sync has not run or has failed, and every employee whose allocation has been removed - exactly the population whose status is genuinely unknown. clear_state must distinguish clear from unknown.",P1,Data,2/2,"Hub DOM text, full my-compliance API payload, empty-state text on both destination pages",New
PX-123,"Incident narrative stored in the Title field, truncated mid-word",/incidents TITLE column,Triage incidents,1. Open /incidents  2. Read the TITLE column,Short scannable title distinct from narrative,"At least 25 of 57 records carry the full narrative as title, cut mid-word: '...Without warning the grinder', '...forgot that t', '...The re'. Affects real records INC-2026-0030 to 0056.",P2,Data,2/2,List capture,New
PX-124,Incidents list default sort is not chronological,/incidents,Triage incidents,1. Open /incidents  2. Read the DATE column top to bottom,Newest first,"Order runs 23/07/26, 11/10/24, 21/07/26, 19/07/26, then hex refs, then 0011-0001, then 27/01/26 descending. Neither date nor reference ordered.",P2,Functional,2/2,List capture,New
PX-125,Approximately 35% of the production incident register is developer/test debris,/incidents,Any register use,1. Open /incidents  2. Read titles,Production register contains only real cases,"~20 of 57: 'TEST', 'test', 'good title here', 'UAT-THIN-20260719190324 sev bogus xx', 'CUJ smoke incident probe', 'UAT-MASTER-... portal INC', 'FIXUP-192910 closure host'. Inflates every dashboard KPI.",P2,Data,2/2,Walk-away Phase 2 residue purge covers [PURGED-RUN021] / INC-2026-0058/0059/0060 debris via #1524 (OPEN). Soft-delete primitive exists (#1472).,Ops in progress
PX-127,Offline submit is indistinguishable from a successful save,/incidents New Incident modal,Log an incident,"1. With browser offline, open New Incident  2. Complete all required fields  3. Create Incident",Explicit per-record acknowledgement and a pending row in the register,"Dialog closes exactly as on success. No confirmation, no 'saved offline', no pending row, count unchanged. Only cue is a pre-existing low-contrast corner toast.",P2,UX,2/2,IndexedDB qgp-offline/pending-sync held both submissions,New
PX-128,"Queued writes never retry while navigator.onLine stays false, though the network works",Offline sync layer,Any write from the field,"1. With navigator.onLine false but network reachable, submit a record  2. Observe pending-sync over time while GETs succeed",Treat a successful response as proof of connectivity and drain the queue; or retry on a backoff timer,"Over ~40 minutes every GET /api/v1/* returned 200 while pending-sync stayed at 2 items with retries not advancing. Queue drains only on the browser 'online' event, which never fired.",P2,Functional,2/2,Network log (all 200) + IndexedDB inspection,New
PX-129,Admin and Portal offer different customer lists for the same mandatory field,/portal/report/* vs /incidents modal,Log any case,1. Open the customer dropdown in the portal form  2. Open it in the admin New Incident modal,Identical option set,"Portal offers 8 (DEFRA, Openreach, Thames Water, Cadent, Network Rail, UKPN, Novuna, Plantexpand Ltd). Admin offers 4 (DEFRA, Network Rail, Plantexpand Ltd, Thames Water).",P2,Data,2/2,Both dropdowns captured,New
PX-130,Incident register search only scans the current page,/incidents search,Find a case by reference,1. Open /incidents  2. Search a reference that sits on page 2,Search scans the whole register,'Search filters this page only (1-50 of 57)' and 'No matching incidents on this page ... search does not scan the full register yet.',P2,Functional,2/2,Search result capture,New
PX-132,Two structurally different intake forms write to one register,Portal form vs Admin modal,Log an incident,1. Compare captured fields in each channel,One consistent record shape,"Portal captures customer, involvement, person, role, contact, location, GPS, date, time, narrative, injuries, evidence, photos. Admin captures title, description, type, severity, customer, reporter, datetime only - no location, no injured party, no injury detail, no evidence.",P2,Data,2/2,Field-by-field comparison,New
PX-134,'MISSING REQUIRED SECTION' does not say which section,/investigations/:id Closure Checklist,Close an investigation,1. Open an investigation  2. Read the Closure Checklist issues,Named section and a route to satisfy it,All-caps constant rendered to the user with no indication of which section or how to resolve. Blocks closure with no recovery path.,P2,UX,2/2,Closure Checklist capture,New
PX-135,"Impossible lifecycle state: Completed 19/07/2026, Started 'Not started'",/investigations/7 Details,Investigate to closure,1. Open /investigations/7  2. Read Started and Completed,Start timestamp captured on transition,Completed 19/07/2026 while Started reads 'Not started'. Either start is not captured or status can be set without moving through the workflow. Invalidates any cycle-time or SLA reporting.,P2,Data,2/2,Details panel capture,New
PX-136,No investigation exists for any real incident,/investigations,Incident to investigation,1. Open /investigations  2. Compare sources against /incidents,Real incidents investigated,"7 investigations, all test data (FIXUP-, UAT-MASTER-, two auto-seeded). None of the ~27 genuine historical injury incidents has an investigation attached.",P2,Functional,2/2,Investigation list vs incident register,New
PX-142,Audit trail identifies people as 'Actor #1' rather than by name,/investigations/:id Timeline,Accountability review,1. Open an investigation Timeline,Named actor,"Renders 'Actor #1'. Combined with a blank Lead Investigator, the investigation has no identifiable human attached anywhere.",P2,Data,2/2,Timeline capture,New
PX-143,Customer-facing investigation report generates JSON only; no PDF,/investigations/:id Report,Issue a customer pack,1. Open the Report tab  2. Read the generation options,Branded PDF suitable for issue to a client,'Generate Internal or External JSON packs. Branded Plantexpand PDF rendering is a follow-on.' A JSON file is not a client deliverable.,P2,Functional,2/2,Report tab capture,New
PX-148,'Details' is the only descriptive column and reads 'Not specified' on most records,/near-misses,Browse near misses,1. Open /near-misses  2. Read the Details column,Meaningful description per record,"6 of first 8 rows read 'Not specified'. Further UAT debris in production: 'UAT Yard' x2, 'UAT-CONTRACT', 'UAT Test Yard', 'Probe'.",P2,Data,2/2,List capture,New
PX-150,CAPA view returns 'No actions found' while CAPA actions demonstrably exist,/capa -> /actions?sourceType=capa,Track corrective actions,1. Open /capa,CAPA-sourced actions listed,"'No actions found - Actions will appear here when created', while the unfiltered list contains CAPA-2026-0015/0014/0013 and tiles still read '20 Total, 17 Open'. Filter chips lose their counts (render '-').",P2,Functional,2/2,Both views captured,New
PX-151,Every action shows 'Unassigned' while the dashboard claims 9 are assigned,/actions vs Dashboard,Chase corrective actions,1. Open /actions  2. Compare with the My Day tile,Owner shown per action,All visible actions render 'Unassigned'; dashboard reads 'My actions - 9 assigned'. Unowned actions cannot be chased (fails exit criterion 6).,P2,Data,2/2,Both screens captured,New
PX-152,Raw enum values and three source-reference formats exposed in the actions list,/actions,Track corrective actions,1. Open /actions  2. Read the source references,Consistent user-facing case references,"Same list shows 'investigation:6', 'INVESTIGATION-6' and 'NEAR_MISS-4'. Two action reference schemes side by side: CAPA-2026-0015 and INVACT-2026-2B514420.",P2,Content,2/2,List capture,New
PX-153,Case registers are inconsistent with each other in columns and terminology,/incidents /rtas /complaints /near-misses,Any register use,1. Open each register  2. Compare column headers,Consistent columns and vocabulary,Incidents: REF/TITLE/TYPE/SEVERITY/STATUS/DATE. RTAs: REF/TITLE/LOCATION/SEVERITY/STATUS/DATE. Complaints: REF/TITLE/TYPE/COMPLAINANT/PRIORITY/STATUS/RECEIVED. Near Misses: Reference/Details only. 'SEVERITY' vs 'PRIORITY'; 'DATE' vs 'RECEIVED'; casing differs.,P2,UI,2/2,Column extraction from all four,New
PX-156,Dashboard 'Risk + forecast' card is ambiguously labelled,/dashboard,Board risk oversight,1. Read the Risk + forecast card  2. Compare with /risk-register,A label stating what the number counts,"The card reports risks OUTSIDE APPETITE, not total risks — verified by controlled experiment (raising one scored risk moved it 0 to 1 in step with the register). Correct arithmetic, but a bare number under 'Risk + forecast' reads as 'we have no risks' while the register holds 129. ORIGINAL P1 WITHDRAWN.",P2,UI,2/2,Before/after controlled comparison,Corrected
PX-158,"Three live incident intake forms and three live near-miss intake forms, all different",Portal + Admin,Log any case,"1. Open /portal/report/incident, /portal/report/incident-legacy and the /incidents modal  2. Compare",One current intake path per case type,All six live and ungated. near-miss-static uses an entirely different structure ('Your Details / Your Name* / Your Role* / Were you involved?'). Legacy variants are not labelled deprecated and not redirected.,P2,Functional,2/2,All six forms opened and captured,New
PX-160,Export Center is not wired to live APIs,/exports,Export data,1. Open /exports,Working bulk export and job history,"'Export Center not available yet. Bulk exports, job history, and scheduled templates are not wired to live APIs yet.'",P2,Functional,2/2,Screen capture,New
PX-162,Icon-only controls have no accessible name; modal background is not inert,"Global nav, dashboard, modals",Keyboard and screen-reader use,1. Read the accessibility tree on /dashboard and on the New Incident modal,All controls named; background inert while a modal is open,"Sidebar section toggles and KPI card links expose no accessible name. With the New Incident dialog open, background list buttons remain exposed in the accessibility tree.",P2,Accessibility,2/2,read_page accessibility tree output,New
PX-165,Case data is processed by three third-party AI providers — contractual and GDPR exposure,/analytics/safety-insights,AI safety analysis,1. Open /analytics/safety-insights  2. Read 'How this works',Clear data-processing position for client safety data,"'Deterministic dimensions -> Gemini micro-themes with citation validation -> Claude synthesis -> optional Perplexity HSE/gov research.' Real incident narratives for UKPN/National Grid contracts may be sent to three external processors. Raised for legal/DPO review, not as a code defect.",P2,Governance,2/2,Screen text,New
PX-167,Cold deep-link into a portal intake form bounces to the portal login screen,/portal/report/incident,Bookmarked report link,1. From a cold session navigate directly to /portal/report/incident,Authenticated user lands on the form,Redirected to /portal/login. Console: '[PortalAuth] Session expired - clearing stored data' fires before '[PortalAuth] Bootstrapped portal session from shared JWT'. Subsequent visits succeed.,P2,Functional,1/2,Console log excerpt,New - needs confirmation
PX-171,Production API returned intermittent HTTP 503 on the incident detail endpoint,API app-qgp-prod,Open a case,1. Repeatedly open /incidents/132,Stable responses,GET /api/v1/incidents/132 returned 503 twice (~50s to fail) then 200 on retry. Backend instability on production; pairs with PX-170 which turns the transient fault into a dead screen.,P2,Performance,2/2,Network log,New
PX-172,Escape closes the entire modal and discards all input with no warning,Modals (Start Investigation),Any modal task,1. Open Start Investigation  2. Open the Lead Investigator dropdown  3. Press Escape,Escape closes the dropdown first; a dirty form warns before discarding,The whole dialog closes and the route changes back to /incidents. Everything typed is lost with no confirmation.,P2,UX,2/2,Reproduced with a fully completed form,New
PX-173,Register rows are announced as buttons but only the reference text is clickable,/incidents list,Open a case from the register,"1. Open /incidents  2. Click the title cell, then the date cell of a row",The row opens the case,"Clicking title or date does nothing (URL unchanged, verified twice). Only the small reference text navigates. Yet each row is exposed as button 'View incident: <title>'.",P2,Accessibility,2/2,Coordinate clicks on title and date cells; accessibility tree,New
PX-174,"Case reference and URL identifier are unrelated, and the internal ID is shown to users","/incidents/:id, /investigations/:id, /risk-register/:id",Share or bookmark a case,1. Open INC-2026-0059  2. Read the URL  3. Try /incidents/59,"URL keyed on the reference, or the internal ID hidden",INC-2026-0059 lives at /incidents/132; /incidents/59 returns 'Incident not found'. Investigation shows 'Source: incident #132'. RSK-2026-0203 lives at /risk-register/204. The exposed number is actively misleading — '#20' is not INC-2026-0020.,P2,Data,2/2,Direct URL tests,New
PX-180,Route guards behave inconsistently for unauthenticated users,Global routing,Deep link while logged out,"1. Sign out  2. Request /admin/users, /audit-trail and /incidents/132",Consistent redirect to login,/admin/users -> /login (correct); /audit-trail -> /dashboard; /incidents/132 -> stays and renders the authenticated shell. No case data leaked in any of the three.,P2,Functional,2/2,Three direct navigations,New
PX-182,The header search box is a dead control; only the keyboard shortcut works,Global header,Search,1. Click the 'Search… K' box in the header  2. Type,The search palette opens and receives input,"Clicking does nothing — no focus, no palette; typed text goes nowhere. Ctrl/Cmd+K opens it correctly.",P2,Functional,2/2,Typed text did not appear; palette opened only via shortcut,New
PX-183,Audit average score of 10% across 45 audits is implausible,/audits,Assurance oversight,1. Open /audits  2. Read the KPI row,A score reflecting real audit performance,"45 Total, 32 Completed, 99 Open Findings, 10% Average Score. Same figure appears on the dashboard. A business passing Achilles UVDB assessments does not average 10%. Test debris present too.",P2,Data,2/2,Audit KPI row,New
PX-184,Workforce competency module holds 84 employees and zero competency records,/workforce/dashboard,Competency assurance,1. Open /workforce/dashboard,Competency status per employee per asset type,Employees 84; Active Competencies 0; Due 0; Expired 0; Failed 0; Not assessed 0. Full skills matrix renders across ~20 asset types with nothing in it. Competency-to-asset matching is the control that stops an untrained engineer working on a lifting appliance.,P2,Data,2/2,Workforce dashboard KPI row,New
PX-186,Admin reports 'Active Forms 0' while six intake forms serve production,/admin,Govern forms,1. Open /admin,A count matching the forms actually in service,"'System Healthy - Active Forms 0 - Live from API', while six live intake forms are demonstrably in service. Either the live forms are not managed by the Form Builder, or the count is wrong.",P2,Data,2/2,Admin dashboard vs PX-158 form inventory,New
PX-192,The entire Complaints register is test data — 6 of 6 records,/complaints,Complaint handling,1. Open /complaints,Real customer complaints,"All six are UAT/CUJ probes: UAT-TX-191150, UAT-THIN-20260719190324, UAT portal complaint XX, UAT-MASTER-20260719182115, Customer Complaint - ukpn, CUJ API probe complaint. Complainant values include 'UAT', 'UAT Portal', 'Anonymous'.",P2,Data,2/2,Full register listing,New
PX-193,Analytics contradicts itself on incident data for the same period,/analytics,Trend reporting,1. Open /analytics  2. Compare Module distribution with the Incident weekly trend,Consistent figures,Module distribution shows Incidents 22 for the period; the Incident weekly trend for the same period reports 'No incident trend points for this period'.,P2,Data,2/2,Single screen capture,New
PX-194,Three unexplained composite scores that disagree with each other,"/analytics, /dashboard, /audits",Executive reporting,1. Compare the score tiles across the three screens,"Defined, reconcilable measures","Health score 91 and Compliance score 0% side by side on /analytics; Audit score 10% on /dashboard and /audits; Resolution rate 13.4%. None is defined on screen. A director sees 91, 10% and 0% describing the same business at the same moment.",P2,Data,2/2,Three screens compared,New
PX-196,"Pending lookup imports can only be Approved, never Rejected",/admin/lookups,Curate imported reference data,1. Open /admin/lookups  2. Inspect the 'Pending approval (5)' queue from ces_import,Approve and Reject both available,"Five Approve buttons render and zero Reject/Discard/Dismiss controls. Three of the five pending entries are junk: 'SPARE', 'Unspecified site (8)', 'Unspecified site (9)'. The only way to clear the queue is to approve rubbish into the asset register - which, per PX-177, cannot then be removed.",P2,Functional,2/2,"Button inventory: 5 Approve, 0 Reject",New
PX-197,"Test accounts live on production, one holding Superuser",/admin/users,Launch readiness,1. Open /admin/users,No test or smoke-test accounts on a live platform,"'Smoke Runner' (smoke-runner@plantexpand.com) is Active with role Superuser; 'UAT Gap' (uat.gap.fixup-192910@plantexpand.com) is Active. Raised as governance/launch-readiness, not a security test (out of scope per Standing Order 6).",P2,Data,2/2,User list,New
PX-199,Raw enum value shown to users on the RTA record,/rtas/:id Vehicle 1 tab,View a collision,1. Open an RTA  2. Vehicle 1 tab,Human-readable collision type,"Renders Collision type: object_strike verbatim, snake_case, to the end user.",P2,Content,2/2,Vehicle 1 tab,New
PX-200,RTA register rows contain no anchor element at all,/rtas,Open a collision from the register,1. Inspect a register row in the DOM,A real link that can be opened in a new tab or copied,"Rows are <tr role=button> with the reference as a plain <span> - no <a href> anywhere. A collision record cannot be opened in a new tab, middle-clicked, or have its link copied, and the register cannot be navigated without JavaScript. Keyboard Enter on a focused row does work.",P2,Accessibility,2/2,DOM inspection,New
PX-202,"RTA conflates driver with reporter, and mandates neither",/rtas/:id,Follow up a collision,1. Open RTA-2026-0031,"An identified reporter, independent of the driver","The 'DRIVER / REPORTER' tile is populated from the Driver Name field; with no driver name it reads 'Reporter: Not provided - No contact captured'. Unlike incidents, the RTA form never captures who reported it independently of who was driving - and a controller often reports on a driver's behalf.",P2,Data,2/2,RTA-2026-0031 vs RTA-2026-0032,New
PX-203,Required fields are not marked anywhere on the New RTA form,/rtas New RTA modal,Report a collision,1. Open Report RTA  2. Inspect labels,Required fields visibly marked,"The form has 4 fields with the DOM required attribute and zero labels carrying an asterisk or any other indicator. Compare Add Action, which correctly renders 'Action Title *'.",P2,UX,2/2,Label inspection,New
PX-204,Submitting an RTA gives no feedback for over 20 seconds,/rtas New RTA modal,Report a collision,1. Complete the form  2. Click Report RTA,"Spinner, disabled button, or progress indication",The dialog stayed open with no spinner and no disabled state for 20+ seconds; only a CORS preflight was visible before the record appeared. The natural response is to click again - a duplicate-record risk on a register with no delete path (PX-177).,P2,UX,2/2,Network timing plus dialog state,New
PX-205,RTA register layout breaks at ordinary laptop width,/rtas,Read the register,1. Open /rtas at 1512px wide,Readable references and a visible date column,Every reference wraps across three lines (RTA- / 2026- / 0031) and the DATE column is clipped at the right edge. This is at desktop width; mobile viewports remain untested.,P2,UI,2/2,Screenshot at 1512 CSS px,New
PX-207,Error messages expose raw Python enum values,/complaints/:id,Any failed save,1. Trigger a rejected status transition,Plain-English error,Toast renders ComplaintStatus.ACKNOWLEDGED and ComplaintStatus.RESOLVED verbatim. A workshop controller cannot act on this.,P2,Content,2/2,Toast text,New
PX-208,Save failures are announced only by a transient toast,/complaints/:id,Any failed save,1. Fail a save  2. Look at the page ten seconds later,A persistent error state,"Ten seconds after a failed save there is no error text anywhere on the page - the toast has auto-dismissed. The only lasting clue is that the form stays in edit mode, so a user who glances away assumes it saved. This is the mechanism by which PX-206 becomes lost work.",P2,UX,2/2,Timed re-check after failure,New
PX-210,Complainant contact fields empty and no SLA or response-due date exists,/complaints/:id,Respond to a complaint within SLA,1. Open COMP-2026-0003,Contact details and a response deadline,"Email 'Not specified', Phone 'Not specified', Contract/Department 'Not provided', Location/Site 'Not provided'. The module has no response-due or SLA field anywhere. For utility clients contracted to complaint-response timescales there is no way to record when a response is due, report on breaches, or contact the complainant.",P2,Data,2/2,Record inspection,New
PX-213,Unbuilt features on statutory asset records labelled with an internal work-package codename,/safety-assets/:id,View an asset,1. Open any asset record,Either working linkage or a neutral empty state,Renders 'case linkage will be wired by AM-THREAD' and 'CAPA/actions wiring lands with AM-THREAD'. Two material capabilities are unbuilt and the placeholder exposes an internal delivery reference to users.,P2,Content,2/2,Asset record,New
PX-214,Competency is modelled against asset type only and is entirely empty,/safety-assets/:id,Prevent untrained use of equipment,1. Open any asset  2. Read the Competency block,Recorded competent holders,"States 'No competency requirements are configured for this asset type' and 'No active competency holders are recorded'. With PX-184 (84 employees, zero competency records), nothing anywhere records who is competent to use any equipment.",P2,Data,2/2,Asset record plus workforce dashboard,New
PX-217,"Every audit run is unassigned by asset type, collapsing the analytics breakdown",/audits/analytics,Analyse audit performance,1. Open the Breakdown by dimension panel,Meaningful dimension analysis,"Asset type breakdown contains one row: 'Unassigned - 27 runs, 24 completed'. No audit run is linked to an asset type, so the dimension returns a single meaningless bucket.",P2,Data,2/2,Breakdown panel,New
PX-218,Audit totals differ between the board and the analytics pack with no visible scoping,/audits vs /audits/analytics,Assurance oversight,1. Compare the two headline figures,Reconcilable totals,"Board: 45 Total Audits, 32 Completed. Analytics: 27 Total runs, 24 Completed. Analytics is period-scoped; the board carries no period label at all, so the figures appear to contradict each other with nothing on screen to reconcile them.",P2,Data,2/2,Both screens,New
PX-221,The document campaign register is almost entirely UAT test data,/documents/campaigns,Run a policy campaign,1. Open Document campaigns,Real campaigns,"Campaigns #10-#16 are all test artefacts (UAT-TX-191150 d1/d14/d30, UAT-THIN camp bogus / specific_users / group / role), every one Draft at 0% completion.",P2,Data,2/2,Campaign compliance table,New
PX-225,'Avg resolution' is empty for every module,/analytics,Report resolution performance,1. Check every module tab,A computed average resolution time,"Incidents, RTAs, Complaints, Risks, Actions and Document campaigns all show '-'. The single metric a client SLA is written against is not computed anywhere in the platform.",P2,Data,2/2,All tabs walked,New
PX-226,'Closed' reads zero for every case module,/analytics,Executive reporting,1. Check every module tab,Closures reflected,"Incidents 22/22 open/0 closed; RTAs 31/32/0; Complaints 6/6/0; Risks 129/129/0. Only Actions shows closures. The incident register demonstrably contains a closed record. Period scoping may explain it, but nothing on the tab says the counts are period-scoped, so the reading is 'we have never closed anything'.",P2,Data,2/2,All tabs walked,New
PX-228,No support contact is configured,/admin/settings,Contact support,1. Open Contact Details,A support email and phone,Support email and phone fields are empty on a platform being prepared for go-live.,P2,Data,2/2,Contact Details section,New
PX-229,"Platform-critical regional settings are free-text, not constrained lists",/admin/settings,Configure date and timezone,1. Open Regional,Validated selects,"date_format, timezone and language are plain text inputs. A typo in date_format changes date rendering across every statutory record. Values are currently correct (DD/MM/YYYY, Europe/London, en-GB).",P2,Functional,2/2,Field type inspection,New
PX-231,Van checklist table exposes raw database field names as column headings,/vehicle-checklists,Review daily van checks,1. Open Van Checklists,Human-readable headings,"Columns render as inc id, id, userName, vanID, startTimeDate, endTimeDate, mileage, bodyWorkDamage, defects, uploaded, checkFluids, checkWheels. Values are raw booleans (true/true). Two ID columns shown side by side with no explanation.",P2,Content,2/2,Table headings,New
PX-232,"Checklist timestamps use YYYY/MM/DD, breaking UK convention",/vehicle-checklists,Review daily van checks,1. Read the timestamp columns,dd/mm/yyyy,"Renders 2026/07/24 16:45:53 while filters directly above use dd/mm/yyyy and week chips use 22/07/2026 - three formats on one screen, on records evidencing statutory daily vehicle checks.",P2,Content,2/2,Single screen,New
PX-233,Three action reference formats and three source formats in one list,/actions,Manage corrective actions,1. Open /actions,One convention,"References: INA-2026-E36781BA (hex), CAPA-2026-0015 (sequential), INVAC... Source labels: INCIDENT-132, investigation:6, FND-2026-0203 - three unrelated conventions, one exposing an internal numeric ID.",P2,Content,2/2,Action list,New
PX-236,Certificate expiry monitoring reports zero against a 1445-asset register,/compliance-automation,Monitor certificate expiry,1. Open Monitoring,Real expiry positions,"Reports 0 certificates expiring within 60 days and 0 changes pending review, while the asset register holds 427 overdue and 34 due within 30 days. Explained by PX-243 - the certificate shelf is empty - so zero reads as reassurance and means the opposite.",P2,Data,2/2,Both screens,New
PX-239,Test records sit in the live employee roster,/workforce,Workforce reporting,1. Open the Skills Matrix,Real employees only,UAT-19190324 and RBAC-192538 appear as employees alongside real technicians and count toward the 84 headcount.,P2,Data,2/2,Skills matrix,New
PX-240,Training compliance depends on a manually uploaded CSV with no staleness warning,/workforce/training,Report training compliance,1. Open Training,Live integration or an ageing warning,"The training position derives from 'Atlas data on file: 21 Jul 2026, 09:11 - Training Matrix Report.csv'. No integration and no warning when the file ages. Every training figure, including the dashboard's 17 overdue modules and 35% compliance, is only as current as the last manual upload.",P2,Data,2/2,Training screen provenance line,New
PX-242,The previous answer's selection state carries over to the next audit question,/audits/:id/execute,Execute an audit,1. Answer Q1 YES  2. Observe auto-advanced Q2,Clean unanswered state,Q2 rendered with YES already highlighted while the progress counter correctly read 1/2 (unanswered). On a Required question an auditor can believe it is answered and page past it.,P2,UI,2/2,Execution screen,New
PX-245,Customer Audits is an empty shell for the client-facing programme,/customer-audits,Oversee customer-raised audits,1. Open Customer Audits,The customer audit programme,"0 Runs, 0 In progress, 0 Open findings, 0 Source docs; self-described as a 'thin programme shell'.",P2,Data,2/2,All three tabs,New
